,max_rank,min_rank
B01N5PY4ZN,665499,419
B06XBFRX47,833724,108537
B00H4IOZES,1309370,146702
B07BB5ZY43,311959,11043
0825444217,527525,850
B07CWH9Y2R,511541,49259
1479855421,2255559,65648
B009FDSQO0,1518250,101506
9176374025,1091661,40629
B074BHCTBZ,50060,10803
B074GLXX7H,76127,8663
B0755GWKN4,3666277,1056297
B00OBJIZ6C,1666123,187152
B073G8HHVZ,348106,3732
1496306902,17900,5366
1439078092,414144,16207
1328745627,375772,12487
B0006DCGEO,13552462,12587806
3839144329,15088036,12010204
B00JZKJU1G,3809032,2848861
B01GBIB9QS,221579,2079
1593272901,178848,5851
1593276672,660538,30396
B01IPBYA74,827854,68656
0553419633,115892,6066
B01LL8BRVA,100744,82
0385351836,391123,16884
B07B6P7KW3,536420,6617
B00PHTTB0Y,589834,60771
1640031138,4188957,233052
1683900758,768163,37974
1620079046,8953501,6065030
0595516874,4428789,3294071
0307387844,292175,19609
0615991424,10992,2377
1634050010,4895815,4478429
1634910494,3331327,106927
0321836960,126825,154
0345497961,1172014,20740
0199970947,2360489,105231
B005IGZVSC,1002936,85188
B013VMEFEA,3102236,200527
1408855666,2038878,70200
B075ZT85GK,1389822,56802
B01N1OG3DQ,121197,2026
0446342963,68520,3086
1783283378,1437377,57765
0062696793,1356,126
B01N9Z3K3R,3096876,108961
1474881599,534637,5182
B07CRL32RY,865742,54437
154252895X,1412202,29890
0062348701,492913,1229
B07CC9925M,647048,17757
1614853258,102645,5923
B07C5KGB96,2228762,74630
078730090X,3715286,107928
1578265614,459719,34401
B078N27TCP,1000474,51995
0789736721,2964502,79557
B07CRN6M98,1559914,132066
B078XG67MR,332917,21411
1514478013,4239402,101736
B014JT526E,353897,20269
0755392744,6643939,271999
B078T26HVC,558226,10140
B07F2B6B8T,174,93
B0109PNN2W,710571,73034
B01N9MTZM4,365799,2068
B078Z3V5HR,517546,11042
B0147GFD3G,3241664,3192553
B073NNVY2Q,676208,68596
B001EL6S0K,215481,47
1481478680,76392,1186
B06XVKHLH7,1209204,46969
1613731388,1352632,78455
B07DN56L6M,11127,1529
1496702425,5042373,91611
B079FXCQ54,202178,1572
3941750240,1253663,63247
B01IMJQNT2,782693,89814
1629991341,20562,2703
B01BLU0U6G,66598,8
B077JM62W4,120744,472
B07BHHDDJ9,357546,7039
B074MJY8RX,60959,134
1946143448,1743256,34498
0788457985,4474453,107922
1927409128,4416263,195185
1119047072,76704,1317
1492652792,5849993,58656
B06XD74XB4,287871,7170
B076RCL1ZT,638844,18205
0415623650,3306423,177381
0300208820,872486,87654
0373442882,4597663,238002
B00K89FZM6,78018,285
B012TKXNUM,435750,17621
B004P1J9SY,3916364,172327
B07CGT1SYK,485746,24464
1944816755,1581648,72899
B079T74LDP,1042301,81240
1535248696,2863110,129361
B00O33V9DC,1984801,964005
0226401901,766120,30927
1974098605,1498326,52528
B00W9XH8YW,1173088,77554
B00MNUE5H4,482021,44579
1449310621,1200688,55206
B01LXVKUWZ,328904,14109
1781327491,1186302,45840
B00UUSPSGI,340416,26228
B01FPVDKBE,231575,5924
1450204643,6556377,205405
1980393397,4292003,105145
B00NZZJ5L2,112749,1951
B00X2IFI9K,152965,6947
1520991622,8899097,7609409
B075PYCTQL,24533,181
B01B23CD12,1305805,77628
B01GQW795E,40404,372
B00LZGTO0K,183076,149
B00VQWUE5W,628979,49520
9881905605,7526706,2456946
1948652048,64737,2206
1534990453,6436917,141239
1449394620,1226957,37963
1471403548,13778431,10396215
1943407258,1634568,62517
B0034G661Y,2892733,116395
B00FBJ9GVE,1861969,124931
0800788222,2489,6
1847386962,9026144,8773678
B01E9D5ANA,2287049,183299
1910742139,5167887,84308
1780660006,2813513,119787
0007365500,6682682,106135
B06XZJ49B1,2724804,122947
193415394X,14562450,11369427
B013NSPIGQ,3133967,2110422
0141341416,767596,38464
B01BXS85IG,280339,6633
0718033868,444388,11834
1910881449,2707182,82294
0812999037,3046644,2968393
B077FKGX1G,1318720,39759
B078WFSJDQ,89644,5265
B06Y2LMDMM,365397,853
B008EKMBDM,186980,11440
B077XVY4YV,382111,38323
1784298468,1334595,55719
B0796VSXW7,420265,20533
B006A9XGUG,444629,58737
B07539FLHF,1819,160
B079NY7ZYK,29117,6145
B01C1OJ7FG,2776850,1981893
B00PSOW6Z0,648433,59947
1939062799,6455134,5308665
B0733KYZGF,1819857,34819
3540254579,17708019,16667224
B00WCY4YWW,731517,95756
0310448301,2624703,89439
B00YN7PAZ6,3139223,351332
B079ND761J,246859,4871
B01BFSKC6W,2232496,146841
B01N0YK80L,2206400,59490
1611801648,666331,24409
B017F71H6Q,39264,4224
0801891442,1560717,41969
1576734501,416842,8165
1505297540,260055,11780
1625263864,2806499,101180
B00HS5DYDA,36056,4781
B073THP9QY,54082,152
1484780787,61702,5222
B06XQYTS76,1828271,98810
B0192CTMVY,97071,14484
1107653665,783673,28587
B01591BQKC,1914339,99306
B077D1KGZP,2695480,64078
0988667037,2070772,101097
B07DFHRW1B,322501,28787
B0723HDRNR,3683415,186916
B01MR7C4LC,470113,2614
1635730015,2044501,109424
B01JWE1ROW,1227618,30742
0805090029,1509028,69678
B076J2MZPX,443421,4060
B079FVTWH1,568316,51645
B07897BJP1,785240,51335
0199691592,4314000,166507
125006225X,329217,400
1493799061,9316325,2521302
0099491974,2102864,114460
B00A27A1UA,569438,78287
B00CHRA0ZE,720857,39551
0091900115,2053424,93412
B009M3R9QO,966147,5567
1906610231,6664864,103607
3551559015,3717913,166093
B06Y51L1GW,276040,13798
1492827479,11647374,11014463
1456826980,7824903,5363443
0199603391,1582907,65569
1847924441,863087,20895
198414278X,5452489,156134
B00F5K4XZS,1487108,126026
0805350861,422785,11041
B06XHXJDLD,1432501,1320237
193836726X,9029885,199065
1580056415,522838,10830
B076D7ZZPH,565313,9987
B0161Z7L04,461497,7822
1938434129,1496197,45889
1329566769,7091163,108810
B01CGMSBPK,3673081,3580737
B077FD5CPW,805909,39472
1452124833,92438,423
1933665394,3696998,129747
0385354347,313790,2262
1974009084,4072996,114013
0226453839,1421895,99124
B077Z11M55,1792617,96612
B079D88GDK,2329631,2235666
1633010007,4117789,127715
